year,region_id,status
2000,1,0.87143
2001,1,0.87143
2002,1,0.87143
2003,1,0.87143
2004,1,0.8619
2005,1,0.8619
2006,1,0.8619
2007,1,0.8619
2008,1,0.88095
2009,1,0.87143
2010,1,0.87727
2011,1,0.87727
2012,1,0.87727
2013,1,0.87727
2014,1,0.87727
2015,1,0.87727
2016,1,0.87727
2017,1,0.87727
2018,1,0.89091
2019,1,0.86957
2020,1,0.86957
