sciname,score,year
Kogia breviceps,NA,2020
Stenella coeruleoalba,NA,2020
Mesoplodon ginkgodens,NA,2020
Ziphius cavirostris,NA,2020
Orcinus orca,NA,2020
Physeter macrocephalus,NA,2020
Indopacetus pacificus,NA,2020
Tursiops truncatus,NA,2020
Balaenoptera edeni,NA,2020
Kogia sima,NA,2020
Mesoplodon densirostris,NA,2020
Stenella longirostris,NA,2020
Globicephala macrorhynchus,NA,2020
Megaptera novaeangliae,0.025,2020
Mesoplodon hotaula,NA,2020
Balaenoptera borealis,0.025,2020
Grampus griseus,NA,2020
Balaenoptera musculus,0.025,2020
Lagenodelphis hosei,NA,2020
Balaenoptera acutorostrata,NA,2020
Pseudorca crassidens,NA,2020
Feresa attenuata,NA,2020
Stenella attenuata,NA,2020
Sphoeroides pachygaster,NA,2020
Canthigaster janthinoptera,NA,2020
Canthigaster amboinensis,NA,2020
Canthigaster solandri,NA,2020
Lagocephalus lagocephalus,NA,2020
Arothron nigropunctatus,NA,2020
Lagocephalus sceleratus,NA,2020
Canthigaster bennetti,NA,2020
Arothron hispidus,NA,2020
Arothron meleagris,0,2020
Eretmochelys imbricata,-0.025,2020
Dermochelys coriacea,-0.025,2020
Caretta caretta,-0.025,2020
Hydrophis platurus,0,2020
Chelonia mydas,-0.025,2020
Holothuria leucospilota,NA,2020
Holothuria fuscogilva,-0.025,2020
Holothuria hilla,NA,2020
Stichopus monotuberculatus,NA,2020
Holothuria pervicax,NA,2020
Holothuria difficilis,NA,2020
Stichopus horrens,NA,2020
Holothuria flavomaculata,NA,2020
Actinopyga mauritiana,-0.025,2020
Holothuria inhabilis,NA,2020
Holothuria pardalis,NA,2020
Holothuria discrepans,NA,2020
Holothuria olivacea,NA,2020
Holothuria rigida,NA,2020
Holothuria impatiens,NA,2020
Holothuria fuscocinerea,NA,2020
Bohadschia vitiensis,-0.025,2020
Holothuria stocki,NA,2020
Pearsonothuria graeffei,NA,2020
Holothuria atra,0,2020
Holothuria erinaceaus,NA,2020
Labidodemas semperianum,NA,2020
Holothuria verrucosa,NA,2020
Holothuria arenicola,NA,2020
Naso lituratus,0,2020
Acanthurus nigricauda,0,2020
Naso unicornis,NA,2020
Zebrasoma rostratum,NA,2020
Acanthurus leucocheilus,NA,2020
Naso brevirostris,0,2020
Ctenochaetus hawaiiensis,NA,2020
Acanthurus triostegus,0,2020
Acanthurus xanthopterus,0,2020
Acanthurus lineatus,0,2020
Naso vlamingii,-0.025,2020
Acanthurus guttatus,NA,2020
Ctenochaetus marginatus,NA,2020
Acanthurus thompsoni,0,2020
Acanthurus nigricans,0,2020
Acanthurus maculiceps,NA,2020
Acanthurus pyroferus,0,2020
Acanthurus olivaceus,0,2020
Zebrasoma veliferum,0,2020
Paracanthurus hepatus,NA,2020
Ctenochaetus cyanocheilus,0,2020
Zebrasoma scopas,0,2020
Acanthurus achilles,0,2020
Acanthurus blochii,0,2020
Ctenochaetus flavicauda,NA,2020
Acanthurus dussumieri,NA,2020
Acanthurus nigrofuscus,0,2020
Naso hexacanthus,0,2020
Acanthurus mata,0,2020
Ctenochaetus striatus,0,2020
Fistularia petimba,NA,2020
Fistularia commersonii,NA,2020
Doryrhamphus excisus,NA,2020
Choeroichthys sculptus,-0.025,2020
Aulostomus chinensis,NA,2020
Katsuwonus pelamis,0,2020
Thunnus albacares,-0.025,2020
Makaira nigricans,-0.025,2020
Tetrapturus angustirostris,NA,2020
Thunnus alalunga,-0.025,2020
Xiphias gladius,-0.025,2020
Kajikia audax,-0.025,2020
Thunnus obesus,-0.025,2020
Istiophorus platypterus,NA,2020
Acanthocybium solandri,0,2020
Istiompax indica,NA,2020
Coris centralis,NA,2020
Cheilinus trilobatus,0,2020
Coris gaimard,0,2020
Novaculichthys taeniourus,NA,2020
Cirrhilabrus exquisitus,NA,2020
Pseudocheilinus hexataenia,NA,2020
Thalassoma amblycephalum,NA,2020
Labropsis xanthonota,NA,2020
Thalassoma hardwicke,NA,2020
Bodianus prognathus,NA,2020
Halichoeres hortulanus,NA,2020
Oxycheilinus unifasciatus,NA,2020
Thalassoma lutescens,NA,2020
Epibulus insidiator,NA,2020
Thalassoma quinquevittatum,NA,2020
Bodianus loxozonus,NA,2020
Thalassoma purpureum,NA,2020
Halichoeres pallidus,NA,2020
Calotomus carolinus,NA,2020
Scarus globiceps,NA,2020
Scarus spinus,NA,2020
Chlorurus microrhinos,NA,2020
Scarus psittacus,NA,2020
Scarus niger,NA,2020
Scarus pyrrostethus,NA,2020
Bolbometopon muricatum,-0.025,2020
Scarus oviceps,NA,2020
Pseudocheilinus ocellatus,NA,2020
Hemigymnus fasciatus,NA,2020
Thalassoma lunare,0,2020
Labroides dimidiatus,NA,2020
Stethojulis bandanensis,NA,2020
Halichoeres margaritaceus,NA,2020
Halichoeres trimaculatus,NA,2020
Bodianus axillaris,NA,2020
Hologymnosus doliatus,NA,2020
Gomphosus varius,NA,2020
Halichoeres melasmapomus,NA,2020
Labroides pectoralis,NA,2020
Pseudocheilinus octotaenia,NA,2020
Pseudojuloides cerasinus,NA,2020
Labrichthys unilineatus,NA,2020
Cheilinus oxycephalus,NA,2020
Pseudocheilinus evanidus,NA,2020
Cymolutes praetextatus,NA,2020
Pseudocoris heteroptera,NA,2020
Macropharyngodon meleagris,NA,2020
Halichoeres claudia,NA,2020
Iniistius pavo,NA,2020
Thalassoma trilobatum,NA,2020
Pseudodax moluccanus,NA,2020
Bodianus anthioides,NA,2020
Anampses caeruleopunctatus,NA,2020
Anampses meleagrides,0,2020
Labroides rubrolabiatus,NA,2020
Labroides bicolor,NA,2020
Anampses twistii,0,2020
Coris aygula,NA,2020
Scarus tricolor,NA,2020
Chlorurus spilurus,NA,2020
Scarus rubroviolaceus,NA,2020
Hipposcarus longiceps,NA,2020
Scarus frenatus,NA,2020
Chlorurus frontalis,0,2020
Gygis alba,0,2020
Oceanites oceanicus,0,2020
Nesofregetta fuliginosa,-0.025,2020
Onychoprion lunatus,-0.025,2020
Anous ceruleus,0,2020
Pterodroma neglecta,-0.025,2020
Pterodroma alba,-0.025,2020
Pterodroma cervicalis,0.025,2020
Pterodroma heraldica,-0.025,2020
Pterodroma longirostris,-0.025,2020
Puffinus bailloni,0,2020
Puffinus nativitatis,0,2020
Pterodroma cookii,0.025,2020
Pterodroma inexpectata,-0.025,2020
Pterodroma nigripennis,-0.025,2020
Pterodroma leucoptera,-0.025,2020
Pterodroma pycrofti,0.025,2020
Pterodroma sandwichensis,-0.025,2020
Pterodroma solandri,0.025,2020
Pterodroma ultima,NA,2020
Sula dactylatra,-0.025,2020
Sula leucogaster,-0.025,2020
Sula sula,-0.025,2020
Ardenna bulleri,0,2020
Pterodroma brevipes,-0.025,2020
Phaethon rubricauda,0,2020
Anous stolidus,0,2020
Anous minutus,0,2020
Fregata ariel,-0.025,2020
Phaethon lepturus,-0.025,2020
Ardenna carneipes,-0.025,2020
Ardenna pacifica,-0.025,2020
Ardenna tenuirostris,-0.025,2020
Bulweria bulwerii,0,2020
Fregata minor,-0.025,2020
Onychoprion fuscatus,NA,2020
Ardenna grisea,-0.025,2020
Phoebastria nigripes,0.025,2020
Hydrobates castro,-0.025,2020
Hydrobates leucorhous,-0.025,2020
Puffinus newelli,-0.025,2020
