region_id,sciname,class,common,status,year
1,Conus striatus,gastropoda,NA,0,2020
1,Conus canonicus,gastropoda,NA,0,2020
1,Conus textile,gastropoda,NA,0,2020
1,Conus catus,gastropoda,NA,0,2020
1,Conus nussatella,gastropoda,NA,0,2020
1,Conus generalis,gastropoda,NA,0,2020
1,Conus glans,gastropoda,NA,0,2020
1,Conus moreleti,gastropoda,NA,0,2020
1,Conus flavidus,gastropoda,Yellow Pacific cone,0,2020
1,Conus tessulatus,gastropoda,NA,0,2020
1,Conus episcopatus,gastropoda,NA,0,2020
1,Conus frigidus,gastropoda,Frigid Cone,0,2020
1,Conus sponsalis,gastropoda,Sponsal Cone,0,2020
1,Conus virgo,gastropoda,NA,0,2020
1,Conus cylindraceus,gastropoda,Cylindrical Cone,0,2020
1,Conus emaciatus,gastropoda,False Virgin Cone,0,2020
1,Conus distans,gastropoda,NA,0,2020
1,Conus litteratus,gastropoda,NA,0,2020
1,Conus terebra,gastropoda,NA,0,2020
1,Conus arenatus,gastropoda,Sand-dusted Cone,0,2020
1,Conus aulicus,gastropoda,NA,0,2020
1,Conus geographus,gastropoda,NA,0,2020
1,Conus ferrugineus,gastropoda,NA,0,2020
1,Conus litoglyphus,gastropoda,NA,0,2020
1,Conus magnificus,gastropoda,NA,0,2020
1,Conus chaldaeus,gastropoda,NA,0,2020
1,Conus leopardus,gastropoda,NA,0,2020
1,Leptastrea transversa,anthozoa,NA,0,2020
1,Platygyra carnosus,anthozoa,NA,0.2,2020
1,Montipora informis,anthozoa,NA,0,2020
1,Favia pallida,anthozoa,NA,0,2020
1,Montipora calcarea,anthozoa,NA,0.4,2020
1,Favia stelligera,anthozoa,NA,0.2,2020
1,Favia lizardensis,anthozoa,NA,0.2,2020
1,Plerogyra sinuosa,anthozoa,NA,0.2,2020
1,Favites halicora,anthozoa,NA,0.2,2020
1,Favia favus,anthozoa,Head Coral,0,2020
1,Acropora tortuosa,anthozoa,NA,0,2020
1,Acropora lutkeni,anthozoa,NA,0.2,2020
1,Favites complanata,anthozoa,NA,0.2,2020
1,Montipora incrassata,anthozoa,NA,0.2,2020
1,Montipora turgescens,anthozoa,NA,0,2020
1,Platygyra ryukyuensis,anthozoa,NA,0.2,2020
1,Fungia scutaria,anthozoa,NA,0,2020
1,Acropora grandis,anthozoa,NA,0,2020
1,Montipora capitata,anthozoa,NA,0.2,2020
1,Platygyra pini,anthozoa,NA,0,2020
1,Montipora aequituberculata,anthozoa,NA,0,2020
1,Platygyra contorta,anthozoa,NA,0,2020
1,Montipora peltiformis,anthozoa,NA,0.2,2020
1,Favia matthaii,anthozoa,NA,0.2,2020
1,Favites pentagona,anthozoa,NA,0,2020
1,Montastrea valenciennesi,anthozoa,NA,0.2,2020
1,Acropora horrida,anthozoa,NA,0.4,2020
1,Montipora verrucosa,anthozoa,NA,0,2020
1,Leptastrea bewickensis,anthozoa,NA,0.2,2020
1,Montipora monasteriata,anthozoa,NA,0,2020
1,Montipora foveolata,anthozoa,NA,0.2,2020
1,Acropora microphthalma,anthozoa,NA,0,2020
1,Platygyra daedalea,anthozoa,Brain Coral,0,2020
1,Platygyra sinensis,anthozoa,NA,0,2020
1,Montipora tuberculosa,anthozoa,NA,0,2020
1,Montipora hoffmeisteri,anthozoa,NA,0,2020
1,Goniastrea pectinata,anthozoa,NA,0,2020
1,Leptastrea purpurea,anthozoa,NA,0,2020
1,Leptastrea pruinosa,anthozoa,NA,0,2020
1,Favites abdita,anthozoa,NA,0.2,2020
1,Favites chinensis,anthozoa,NA,0.2,2020
1,Montastrea curta,anthozoa,NA,0,2020
1,Abudefduf sordidus,actinopterygii,Yellow-banded Sergeant-major,0,2020
1,Abudefduf vaigiensis,actinopterygii,Five-banded Sergeant-major,0,2020
1,Abudefduf septemfasciatus,actinopterygii,Seven-banded Sergeant-major,0,2020
1,Chromis caudalis,actinopterygii,Blue-axil Chromis,0,2020
1,Epinephelus polyphekadion,actinopterygii,Camouflage Grouper,0.4,2020
1,Epinephelus fuscoguttatus,actinopterygii,Brown-marbled Grouper,0.4,2020
1,Cephalopholis leopardus,actinopterygii,Leopard Hind,0,2020
1,Plectropomus laevis,actinopterygii,Blacksaddled Coral Grouper,0,2020
1,Cephalopholis argus,actinopterygii,Peacock Grouper,0,2020
1,Epinephelus macrospilos,actinopterygii,Snubnose Grouper,0,2020
1,Cephalopholis sonnerati,actinopterygii,Tomato Hind,0,2020
1,Epinephelus hexagonatus,actinopterygii,White Speckled Rockcod,0,2020
1,Epinephelus merra,actinopterygii,Honeycomb Grouper,0,2020
1,Epinephelus retouti,actinopterygii,Red-tipped Grouper,0,2020
1,Gracila albomarginata,actinopterygii,Masked Grouper,0,2020
1,Cephalopholis urodeta,actinopterygii,Darkfin Hind,0,2020
1,Epinephelus melanostigma,actinopterygii,One-blotch Grouper,0,2020
1,Epinephelus spilotoceps,actinopterygii,Foursaddle Grouper,0,2020
1,Epinephelus fasciatus,actinopterygii,Blacktip Grouper,0,2020
1,Epinephelus socialis,actinopterygii,Surge Grouper,0,2020
1,Cephalopholis miniata,actinopterygii,Coral Hind,0,2020
1,Variola louti,actinopterygii,Yellow-edged Lyretail,0,2020
1,Cephalopholis sexmaculata,actinopterygii,Six-blotch Hind,0,2020
1,Epinephelus howlandi,actinopterygii,Blacksaddle Grouper,0,2020
1,Eptatretus carlhubbsi,myxini,Giant hagfish,0,2020
1,Arctides regalis,malacostraca,Royal Spanish Lobster,0,2020
1,Stereomastis surda,malacostraca,NA,0,2020
1,Peponocephala electra,mammalia,Melon-headed Whale,0,2020
1,Steno bredanensis,mammalia,Rough-toothed Dolphin,0,2020
1,Stenella coeruleoalba,mammalia,Striped Dolphin,0,2020
1,Ziphius cavirostris,mammalia,Cuvier's Beaked Whale,0,2020
1,Physeter macrocephalus,mammalia,Sperm Whale,0.4,2020
