layer_name,scenario_year,data_year
hab_coral_health,2020,2012
cp_coral_trend,2012,2012
cp_coral_trend,2013,2012
cp_coral_trend,2014,2012
cp_coral_trend,2015,2012
cp_coral_trend,2016,2012
cp_coral_trend,2017,2012
cp_coral_trend,2018,2012
cp_coral_trend,2019,2012
cp_coral_trend,2020,2012
hab_mangrove_extent,2012,2015
hab_mangrove_extent,2013,2015
hab_mangrove_extent,2014,2015
hab_mangrove_extent,2015,2015
hab_mangrove_extent,2016,2015
hab_mangrove_extent,2017,2015
hab_mangrove_extent,2018,2015
hab_mangrove_extent,2019,2015
hab_mangrove_extent,2020,2015
hab_mangrove_health,2012,2012
hab_mangrove_health,2013,2012
hab_mangrove_health,2014,2012
hab_mangrove_health,2015,2012
hab_mangrove_health,2016,2012
hab_mangrove_health,2017,2012
hab_mangrove_health,2018,2012
hab_mangrove_health,2019,2012
hab_mangrove_health,2020,2012
hab_mangrove_trend,2012,2012
hab_mangrove_trend,2013,2013
hab_mangrove_trend,2014,2014
hab_mangrove_trend,2015,2015
hab_mangrove_trend,2016,2015
hab_mangrove_trend,2017,2015
hab_mangrove_trend,2018,2015
hab_mangrove_trend,2019,2015
hab_mangrove_trend,2020,2015
hab_rockyreef_extent,2000,2012
hab_rockyreef_extent,2001,2012
hab_rockyreef_extent,2002,2012
hab_rockyreef_extent,2003,2012
hab_rockyreef_extent,2004,2012
hab_rockyreef_extent,2005,2012
hab_rockyreef_extent,2006,2012
hab_rockyreef_extent,2007,2012
hab_rockyreef_extent,2008,2012
hab_rockyreef_extent,2009,2012
hab_rockyreef_extent,2010,2012
hab_rockyreef_extent,2011,2012
hab_rockyreef_extent,2012,2012
hab_rockyreef_extent,2013,2012
hab_rockyreef_extent,2014,2012
hab_rockyreef_extent,2015,2012
hab_rockyreef_extent,2016,2012
hab_rockyreef_extent,2017,2012
hab_rockyreef_extent,2018,2012
hab_rockyreef_extent,2019,2012
hab_rockyreef_extent,2020,2012
hab_saltmarsh_extent,2012,2012
hab_saltmarsh_extent,2013,2012
hab_saltmarsh_extent,2014,2012
hab_saltmarsh_extent,2015,2012
hab_saltmarsh_extent,2016,2012
hab_saltmarsh_extent,2017,2012
hab_saltmarsh_extent,2018,2012
hab_saltmarsh_extent,2019,2012
hab_saltmarsh_extent,2020,2012
hab_saltmarsh_health,2012,2012
hab_saltmarsh_health,2013,2012
hab_saltmarsh_health,2014,2012
hab_saltmarsh_health,2015,2012
hab_saltmarsh_health,2016,2012
hab_saltmarsh_health,2017,2012
hab_saltmarsh_health,2018,2012
hab_saltmarsh_health,2019,2012
hab_saltmarsh_health,2020,2012
hab_saltmarsh_trend,2012,2012
hab_saltmarsh_trend,2013,2012
hab_saltmarsh_trend,2014,2012
hab_saltmarsh_trend,2015,2012
hab_saltmarsh_trend,2016,2012
hab_saltmarsh_trend,2017,2012
hab_saltmarsh_trend,2018,2012
hab_saltmarsh_trend,2019,2012
hab_saltmarsh_trend,2020,2012
hab_seagrass_extent,2012,2012
hab_seagrass_extent,2013,2012
hab_seagrass_extent,2014,2012
hab_seagrass_extent,2015,2012
hab_seagrass_extent,2016,2012
hab_seagrass_extent,2017,2012
hab_seagrass_extent,2018,2012
hab_seagrass_extent,2019,2012
hab_seagrass_extent,2020,2012
hab_seagrass_health,2012,2012
hab_seagrass_health,2013,2012
hab_seagrass_health,2014,2012
